COD. ARTIC.;NOMBRE;STOCK;LISTA 1;LISTA 2;LISTA 3;LISTA 4;CATEGORIA
101;SMARTWATCH HAXLY QUID 2.0 BLACK/RED;10,000;6063,14;5658,93;5254,72;4850,51;RELOJ SMARTWATCH
102;FUENTE TT TR2 600W;20,000;10708,50;9994,60;9280,70;8566,80;FUENTE
103;SERVICIO DE HARDWARE;390,000;0,00;0,00;0,00;0,00;SERVICIO TECNICO
104;SERVICIO DE SOFTWARE;2,500,000;0,00;0,00;0,00;0,00;SERVICIO TECNICO
105;PLOTTER EPSON T3170 61CM;0,0000;160379,70;149687,72;138995,74;128303,76;IMPRESORA LASER
106;MF EPSON MULTIFUNCION MONOC M2120 SIST CONT WIFI;0,0000;66392,70;61966,52;57540,34;53114,16;IMPRESORA TINTA
107;HP LASERJET M107W LJ 21PPM WIFI 4ZB78A;0,0000;48896,25;45636,50;42376,75;39117,00;IMPRESORA LASER
108;IMPRESORA TERM. HONEYWELL PC42T PLUS USB BUJE 1/2;0,0000;33249,45;31032,82;28816,19;26599,56;IMPRESORA DE COMANDAS
109;BROTHER LASER HL 1212W;0,0000;30706,85;28659,72;26612,60;24565,48;IMPRESORA LASER
110;MF HP SMART TANK 615 WIRELESS C/ SISTEMA CONTINUO;0,0000;38550,60;35980,56;33410,52;30840,48;IMPRESORA TINTA
111;EPSON L8160 MF SISTEMA CONTINUO;0,0000;149919,00;139924,40;129929,80;119935,20;IMPRESORA TINTA
112;EPSON L3210 MF SISTEMA CONTINUO;50,000;51400,80;47974,08;44547,36;41120,64;IMPRESORA TINTA
113;HP MULTIFUNCION INK TANK 410 WIRELESS;0,0000;27199,59;23572,98;21759,67;36266,12;IMPRESORA TINTA
114;RW-DVD ASUS EXTERNA SLIM USB 24X BLANCA;0,0000;4107,29;3559,65;3285,83;5476,38;RW- DVD SATA Y USB
115;CARTUCHO HP 21 NEGRO;0,0000;4654,92;4381,10;3559,65;5476,38;CARTUCHO TINTA
116;CARTUCHO HP 22 COLOR;0,0000;6428,23;6050,10;5671,97;4915,70;CARTUCHO TINTA
118;CARTUCHO HP 60 NEGRO;0,0000;1324,03;1203,66;1043,16;1604,90;CARTUCHO TINTA
119;CARTUCHO HP 60 COLOR;0,0000;1257,50;1143,19;990,76;1524,24;CARTUCHO TINTA
120;CARTUCHO HP 667 NEGRO;0,0000;2659,96;2503,49;2034,08;3129,36;CARTUCHO TINTA
121;CARTUCHO HP 75 COLOR;10,000;1294,26;1213,37;1051,60;1051,60;CARTUCHO TINTA
122;CARTUCHO HP 95 COLOR;0,0000;1334,72;1213,37;1051,60;1051,60;CARTUCHO TINTA
123;CARTUCHO HP 122 NEGRO;10,000;3324,95;3129,36;2542,61;3911,70;CARTUCHO TINTA
124;CARTUCHO HP 122 COLOR;60,000;4211,60;3963,86;3220,63;4954,82;CARTUCHO TINTA
125;CARTUCHO HP 122 XL NEGRO;0,0000;8090,70;7138,85;6187,01;9518,47;CARTUCHO TINTA
126;CARTUCHO HP 122 XL COLOR;0,0000;8090,70;7138,85;6187,01;9518,47;CARTUCHO TINTA
127;CARTUCHO HP 940 NEGRO;10,000;1964,69;1786,08;1547,94;1547,94;CARTUCHO TINTA
128;CARTUCHO HP 901 COLOR;0,0000;2068,79;1880,72;1629,97;1629,97;CARTUCHO TINTA
129;CARTUCHO HP 564 NEGRO;10,000;1041,08;946,44;820,25;820,25;CARTUCHO TINTA
130;CARTUCHO HP 564 COLOR;10,000;960,99;873,63;757,14;757,14;CARTUCHO TINTA
131;CARTUCHO HP 662 NEGRO;70,000;2659,96;2503,49;2347,02;2034,08;CARTUCHO TINTA
132;CARTUCHO HP 662 COLOR;70,000;2659,96;2503,49;2347,02;2034,08;CARTUCHO TINTA
133;CARTUCHO HP 662 XL COLOR;30,000;3324,95;2933,78;2542,61;3911,70;CARTUCHO TINTA
134;CARTUCHO HP 664 NEGRO;0,0000;2659,96;2503,49;2347,02;2034,08;CARTUCHO TINTA
135;CARTUCHO HP 664 COLOR;10,000;2659,96;2503,49;2034,08;3129,36;CARTUCHO TINTA
136;CARTUCHO HP 664 XL NEGRO;0,0000;1708,43;1553,12;1346,04;1346,04;CARTUCHO TINTA
137;CARTUCHO HP 664 XL COLOR;10,000;4433,26;3911,70;3390,14;5215,60;CARTUCHO TINTA
138;CARTUCHO HP 670 NEGRO;20,000;2659,96;2503,49;2034,08;3129,36;CARTUCHO TINTA
139;CARTUCHO HP 670 COLOR;20,000;2659,96;2503,49;2034,08;3129,36;CARTUCHO TINTA
140;CARTUCHO HP 933 XL ;0,0000;4167,26;3677,00;3186,73;4902,66;CARTUCHO TINTA
142;CARTUCHO HP 932 XL;0,0000;7891,20;6962,83;6034,45;9283,77;CARTUCHO TINTA
143;CARTUCHO ALTER. HP 670XL NEGRO;50,000;664,99;625,87;508,52;782,34;CARTUCHO TINTA
